Security_Code,ISIN,Security_Name
TATAELXSI,INE670A01012,TATA ELXSI LTD
LIQUIDETF,INF740KA1EU7,DSP Liquid ETF
CASH,null,CASH
HINDZINCNEW,INE267A01025,Hindustan Zinc Limited
INFOSYSTECH,INE009A01021,Infosys Ltd
RIL,INE002A01018,Reliance Industries Ltd
DIVISLAB,INE361B01024,Divis Laboratories Ltd
ASIANPAINTS,INE021A01026,Asian Paints Ltd
IEX,INE022Q01020,Indian Energy Exchange Ltd.
JUBLFOOD,INE797F01020,Jubilant Foodworks Limited
TCS,INE467B01029,Tata Consultancy Services Ltd
PIIND,INE603J01030,PI Industries Limited
METROBRAND,INE317I01021,Metro Brands Limited
BASF,INE373A01013,BASF India Ltd
TECHMAHINDRA,INE669C01036,Tech Mahindra Ltd
PFIZER,INE182A01018,PFIZER LIMIT
ASTRAL1,INE006I01046,Astral Ltd.
BSE,INE118H01025,BSE Limited
PETERENGLAND,INE647O01011,Aditya Birla Fashion and Retail Limited
TATAGLOBAL,INE192A01025,TATA Consumer Products Ltd
KMBANK,INE237A01036,Kotak Mahindra Bank Ltd
LATENTVIEW,INE0I7C01011,Latent View Analytics Ltd
HINDALCO,INE038A01020,Hindalco Industries Ltd
UNITEDSPIRITS,INE854D01024,United Spirits Ltd
GODREJCP,INE102D01028,Godrej Consumer Products Ltd
BPCL,INE029A01011,Bharat Petroleum Corporation Ltd
ICICIPRULI,INE726G01019,ICICI Prudential Life Insurance Company Ltd
LICI,INE0J1Y01017,Life Insurance Corporation Of India
ICICIGI,INE765G01017,ICICI Lombard General Insurance Company Ltd
SUPREMEIND,INE195A01028,Supreme Industries Limited
SAREGAMA,INE979A01025,Saregama India Limited
MMFIN,INE774D01024,Mahindra & Mahindra Financial Services Limited
MARUTI,INE585B01010,Maruti Suzuki India Ltd
ADITYABIRLA,INE674K01013,Aditya Birla Capital Ltd
MGL,INE002S01010,Mahanagar Gas Limited
PIDILITIND,INE318A01026,Pidilite Industries Ltd.
HUL,INE030A01027,Hindustan Unilever Ltd
ALKYLAMINE,INE150B01039,Alkyl Amines Chemicals Limited
DABUR,INE016A01026,Dabur India Ltd
HDFCBANK,INE040A01034,HDFC Bank Ltd
MUTHOOTFIN,INE414G01012,Muthoot Finance Limited
HDFCAMC,INE127D01025,HDFC Asset Management Company Limited
PRESTIGE,INE811K01011,PRESTIGE ESTATES PROJECTS LTD
CUB,INE491A01021,City Union Bank Limited
101884,INF732E01037,Nippon India ETF Nifty 1D Rate Liquid BeES
BAJAUTOFIN,INE296A01032,Bajaj Finance Ltd
LTI,INE214T01019,LTIMindtree Ltd
CDSL,INE736A01011,Central Depository Services India Limited
LTTS,INE010V01017,L and T Technology Services Limited
HCLTECH,INE860A01027,HCL Technologies Limited
HNGSNGBEES,INF204KB19I1,Nippon India ETF Hang Seng BeES
DMART,INE192R01011,AVENUE SUPERMARTS LIMITED
APLAPOLLO,INE702C01027,APL Apollo Tubes
FEDERALBNK,INE171A01029,Federal Bank Ltd
SBI,INE062A01020,State Bank of India
ALKEM,INE540L01014,Alkem Laboratories Ltd
106193,INF174KA1HJ8,Kotak Gold ETF
SIEMENS,INE003A01024,SIEMENS LTD
150440,INF966L01AT0,Quant Large Cap Fund-Growth Option-Direct Plan
UNIPHOS,INE628A01036,UPL Ltd
NMDC,INE584A01023,NMDC LTD
GLAND,INE068V01023,Gland Pharma Limited
AVANTIFEED,INE871C01038,Avanti Feeds Limited
BAJAJAUTO,INE917I01010,Bajaj Auto Ltd
AXISHCETF,INF846K01Z12,Axis NIFTY Healthcare ETF
UTIBANKETF,INF789F1AUV1,UTI Nifty Bank ETF
DSPNEWETF,INF740KA1QK2,DSP Nifty 50 Equal Weight ETF
ICICIBANKP,INF109KC18U7,ICICI Prudential Nifty Private Bank ETF
ICICITECH,INF109KC16I6,ICICI Prudential Nifty IT ETF
DSPQ50ETF,INF740KA1QL0,DSP Nifty Midcap 150 Quality 50 ETF
ICICINF100,INF109KC16V9,ICICI Prudential Nifty 100 ETF
AXISTECETF,INF846K01Y96,AXIS MUTUAL FUND-AXIS NIFTY IT ETF
ABSLNN50ET,INF209KB16D7,Aditya Birla Sun Life Nifty Next 50 ETF
MANXT50,INF769K01FN2,Mirae Asset Nifty Next 50 ETF
